AUD,EUR,GBP,NZD,XAU
0.75461,1.07731,1.25188,0.70912,1223.12
0.75438,1.07672,1.2524,0.70911,1222.7
0.75415,1.07612,1.25185,0.7092,1222.25
0.75433,1.07645,1.25256,0.70875,1223.29
0.75442,1.07724,1.25246,0.70909,1222.44
0.75584,1.07839,1.25539,0.70979,1224.04
0.75525,1.07738,1.25444,0.70949,1224.03
0.75554,1.07648,1.25125,0.70947,1222.48
0.75639,1.07734,1.25158,0.71004,1223.83
0.75493,1.07401,1.24882,0.70897,1218.77
0.75399,1.0716,1.2477,0.70803,1213.64
0.75431,1.07112,1.24442,0.70792,1213.11
0.75318,1.07208,1.24614,0.70787,1214.37
0.75312,1.07204,1.24547,0.70724,1213.08
0.75363,1.07244,1.24553,0.70805,1215.22
0.75383,1.07198,1.24593,0.70786,1217.58
0.75379,1.07219,1.24664,0.70837,1219.33
0.75339,1.07238,1.24712,0.70831,1219.35
0.75392,1.0744,1.24866,0.70916,1226.55
0.75317,1.07424,1.24891,0.70893,1224.88
0.75405,1.07516,1.24989,0.70926,1224.09
0.75441,1.07447,1.24936,0.70993,1222.16
0.75441,1.07417,1.24972,0.70991,1220.51
0.75422,1.07387,1.24921,0.70979,1220.81
0.75405,1.07284,1.24906,0.70982,1218.08
0.75534,1.07774,1.24806,0.7115,1225.8
0.75546,1.0783,1.24935,0.711,1227.42
0.75604,1.08018,1.24531,0.71147,1227.14
0.75617,1.08026,1.24498,0.71187,1226.06
0.75515,1.07955,1.24311,0.71111,1225.68
0.75577,1.07908,1.24328,0.71147,1224.68
0.75578,1.07968,1.24251,0.7116,1227.86
0.75547,1.07862,1.24108,0.71128,1225.42
0.75506,1.07747,1.24005,0.71063,1225.16
0.75522,1.07686,1.24044,0.71123,1225.23
0.75607,1.07736,1.243,0.71211,1226.99
0.75626,1.07713,1.24188,0.71162,1226.08
0.75608,1.07663,1.24157,0.71122,1225.31
0.75596,1.0765,1.24313,0.71065,1224.88
0.75574,1.07645,1.2425,0.71059,1225.78
0.75558,1.07504,1.24252,0.71047,1225.02
0.75271,1.07321,1.24014,0.70804,1221.42
0.75245,1.07253,1.24178,0.70776,1219.36
0.75197,1.07341,1.24143,0.70719,1222.04
0.75235,1.07246,1.23982,0.70718,1226
0.75372,1.07519,1.24834,0.70909,1230.6
0.75413,1.07518,1.24816,0.70942,1229.17
0.75394,1.07429,1.24936,0.70913,1227.33
0.75278,1.07253,1.24905,0.70851,1227.01
0.75272,1.07122,1.24663,0.70881,1226.57
0.75211,1.07121,1.24788,0.70841,1227.13
0.75271,1.07148,1.24708,0.70905,1227.87
0.75271,1.07204,1.24552,0.70906,1228.06
0.75268,1.07232,1.24618,0.70924,1227.43
0.75232,1.07199,1.24672,0.70872,1227.79
0.75175,1.07077,1.24456,0.70836,1227.23
0.74935,1.07077,1.24514,0.70657,1226.04
0.74913,1.0705,1.24419,0.70625,1225.55
0.74871,1.07056,1.24384,0.70602,1225.34
0.74632,1.0698,1.24267,0.70498,1224.88
0.7471,1.07059,1.24295,0.70525,1225.92
0.7466,1.07103,1.24378,0.70472,1225.18
0.74768,1.07021,1.246,0.70547,1226.99
0.74736,1.07019,1.24563,0.70571,1226.72
0.74733,1.06818,1.24434,0.70571,1223.98
0.74699,1.06701,1.24267,0.70525,1223.92
0.74754,1.06777,1.24417,0.70593,1225.84
0.7485,1.06948,1.24488,0.70646,1227.52
0.74941,1.07082,1.24584,0.70822,1228.12
0.74907,1.07048,1.24527,0.70816,1227.14
0.74901,1.0699,1.24445,0.70815,1227.37
0.74837,1.06869,1.24414,0.70756,1225.42
0.7478,1.06898,1.24159,0.70913,1225.8
0.7475,1.06907,1.24285,0.70911,1226.13
0.74674,1.0688,1.24223,0.70863,1225.25
0.74686,1.06969,1.24325,0.70892,1226.3
0.7464,1.07034,1.24397,0.70885,1226.87
0.74704,1.07086,1.24583,0.70961,1228.19
0.74714,1.0725,1.24691,0.70983,1229.01
0.74645,1.07157,1.24489,0.70946,1227.98
0.74751,1.07194,1.24635,0.71024,1228.87
0.74802,1.07244,1.24669,0.71027,1228.2
0.74748,1.07325,1.24828,0.70997,1228.49
0.74688,1.07256,1.24908,0.70952,1227.18
0.74702,1.07294,1.24768,0.70982,1227.81
0.74677,1.07223,1.24704,0.70904,1227.57
0.74705,1.07308,1.24669,0.70993,1231.23
0.74731,1.07272,1.24752,0.70973,1229.83
0.74711,1.07323,1.24772,0.70941,1229.73
0.74639,1.07268,1.2468,0.70915,1230.02
0.74662,1.07337,1.24759,0.70922,1229.75
0.74662,1.07339,1.24898,0.70934,1230.08
0.74629,1.07283,1.2474,0.70894,1229.12
0.74675,1.07363,1.24843,0.70897,1229.59
0.74551,1.06823,1.24353,0.70607,1223.16
0.74624,1.06909,1.24425,0.70681,1224.47
0.74668,1.07003,1.24453,0.70772,1224.54
0.74766,1.07043,1.2452,0.70802,1226.1
0.74646,1.06848,1.24393,0.70747,1224.69
0.74746,1.06926,1.24511,0.70844,1227.7
0.74669,1.0682,1.2445,0.70762,1226.28
0.74628,1.0672,1.24349,0.70703,1225.95
0.74711,1.06691,1.24325,0.70702,1226.73
0.74691,1.06739,1.24515,0.70729,1227.8
0.74569,1.06606,1.24534,0.70634,1226.09
0.74572,1.06531,1.244,0.706,1225.74
0.74202,1.06303,1.24213,0.70301,1217.25
0.74248,1.06386,1.24396,0.70333,1217.1
0.74109,1.06323,1.24233,0.7022,1214.75
0.74023,1.06272,1.24205,0.70153,1213.47
0.74109,1.06338,1.24266,0.70259,1214.79
0.7411,1.0629,1.24183,0.70284,1215.09
0.74138,1.06301,1.24205,0.7035,1214.98
0.74093,1.06234,1.24134,0.70326,1213.05
0.74103,1.06224,1.24131,0.70291,1212.8
0.7411,1.06221,1.24175,0.70292,1213.28
0.7334,1.05885,1.23453,0.70058,1208.51
0.73495,1.06304,1.23334,0.70191,1214.85
0.7344,1.0621,1.23307,0.70133,1214.01
0.73531,1.06334,1.23445,0.70186,1214.53
0.73519,1.06309,1.23324,0.70174,1214.72
0.73558,1.06251,1.23332,0.70213,1214.69
0.73597,1.06202,1.23453,0.70259,1215.7
0.73669,1.06358,1.23835,0.70361,1216.42
0.7369,1.06339,1.23833,0.70328,1216.23
0.73656,1.06348,1.23934,0.7038,1216.06
0.7367,1.06303,1.23871,0.7047,1215.5
0.73701,1.06375,1.23973,0.70469,1215.52
0.73708,1.06272,1.24015,0.70462,1214.78
0.73689,1.06358,1.24567,0.70457,1213.42
0.73779,1.06409,1.2466,0.7065,1214.34
0.73709,1.06273,1.24691,0.70671,1213.35
0.73618,1.06152,1.24602,0.70591,1213.9
0.7369,1.06329,1.24761,0.70692,1214.54
0.73557,1.06178,1.24754,0.70575,1213.26
0.73695,1.06303,1.24979,0.70694,1214.74
0.73722,1.06268,1.24922,0.70702,1214.71
0.73726,1.0627,1.2499,0.7072,1215.48
0.73677,1.062,1.24767,0.70691,1213.92
0.73629,1.06224,1.24732,0.70662,1213.82
0.73598,1.06083,1.2459,0.70599,1211.42
0.73539,1.05967,1.24632,0.70531,1211.42
0.73581,1.06052,1.2474,0.70572,1212.3
0.73634,1.0609,1.24811,0.7061,1213.89
0.7363,1.0607,1.24903,0.70599,1213.19
0.73566,1.06054,1.24762,0.70556,1212.03
0.73538,1.06015,1.24793,0.70495,1212
0.73469,1.05936,1.24662,0.70407,1209.83
0.73466,1.05976,1.24611,0.70394,1210.14
0.73499,1.0604,1.24652,0.70443,1210.75
0.73486,1.06021,1.24629,0.70397,1211.37
0.73478,1.06011,1.24637,0.70409,1211.26
0.73518,1.06062,1.24741,0.70424,1211.42
0.73607,1.06112,1.24907,0.70497,1212.05
0.73605,1.06166,1.24904,0.70526,1212.08
0.73616,1.06201,1.24954,0.70543,1211.92
0.73678,1.06287,1.24926,0.70623,1212.92
0.73717,1.06337,1.2496,0.70674,1213.33
0.73664,1.06255,1.24858,0.70589,1213.36
0.73955,1.06312,1.24926,0.70827,1217.94
0.73962,1.06304,1.24853,0.70795,1217.63
0.73943,1.06275,1.2486,0.70782,1217.38
0.73955,1.06307,1.24897,0.70735,1217.77
0.73953,1.06307,1.24899,0.70743,1217.42
0.73977,1.06279,1.24908,0.70799,1217.48
0.73941,1.06243,1.24898,0.70729,1216.73
0.74028,1.06285,1.24963,0.70815,1217.7
0.74033,1.0628,1.24948,0.70731,1218.06
0.73965,1.06295,1.24971,0.70703,1218.4
0.73917,1.06258,1.24942,0.70651,1217.49
0.73823,1.06197,1.24827,0.70592,1216.82
0.73805,1.06157,1.24815,0.70559,1215.23
0.73722,1.06098,1.24852,0.70504,1214.9
0.73765,1.06105,1.24706,0.70523,1214.64
0.73822,1.06121,1.24714,0.7054,1215.4
0.73892,1.06137,1.24745,0.70604,1215.76
0.73932,1.06211,1.24683,0.70672,1216
0.73961,1.06343,1.24874,0.70684,1217.86
0.73946,1.06341,1.24766,0.70692,1217.61
0.74025,1.06461,1.24865,0.70792,1218.21
0.74073,1.06519,1.24931,0.70786,1218.46
0.74106,1.06507,1.24909,0.70796,1218.44
0.74104,1.06448,1.24746,0.70745,1217.9
0.73996,1.06349,1.24418,0.70663,1217.46
0.73997,1.06348,1.24328,0.70691,1217.38
0.73948,1.06296,1.24399,0.70694,1217.29
0.73956,1.06336,1.24468,0.70697,1217.01
0.73967,1.06369,1.24592,0.707,1216.96
0.74023,1.06315,1.24415,0.70723,1216.89
0.74056,1.06275,1.24509,0.70726,1216.95
0.74056,1.0628,1.2455,0.70692,1217.41
0.73974,1.06217,1.24459,0.70625,1216.53
0.73859,1.06074,1.24361,0.70553,1214.26
0.73989,1.06166,1.24327,0.70632,1215.82
0.73891,1.06119,1.24182,0.70563,1214.07
0.73869,1.06076,1.24148,0.70514,1213.5
0.73944,1.06117,1.24138,0.70563,1214.42
0.74012,1.06245,1.24256,0.70622,1214.89
0.74004,1.06207,1.24171,0.70611,1213.82
0.73982,1.06215,1.24219,0.70599,1212.12
0.73933,1.06192,1.24257,0.70551,1210.9
0.73846,1.06095,1.24146,0.70426,1208.9
0.73795,1.05903,1.24129,0.70356,1207.64
0.73764,1.05918,1.24258,0.70367,1208.04
0.73895,1.06091,1.24301,0.70462,1209.48
0.73882,1.06127,1.24296,0.7044,1208.91
0.73883,1.06179,1.24319,0.70465,1209.87
0.73907,1.06203,1.24229,0.70472,1211.48
0.73966,1.06256,1.24243,0.70512,1213.57
0.73903,1.06237,1.24143,0.70457,1211.99
0.73935,1.06271,1.2421,0.70471,1212.56
0.73925,1.06217,1.2416,0.70484,1212.44
0.73892,1.06137,1.2404,0.70431,1211
0.73896,1.06116,1.23916,0.70437,1211.78
0.73925,1.06177,1.23999,0.70471,1212.06
0.7395,1.06201,1.24027,0.7054,1211.18
0.73993,1.06228,1.24175,0.70564,1212.22
0.7403,1.06278,1.24178,0.7062,1212.15
0.7399,1.06242,1.24142,0.70638,1211.9
0.74,1.06258,1.24171,0.70639,1211.49
0.74012,1.06264,1.24161,0.70579,1211.9
0.74009,1.06252,1.24181,0.70601,1211.9
0.7401,1.06262,1.24181,0.70602,1211.9
0.73999,1.06226,1.24179,0.70592,1211.9
0.74025,1.06309,1.24193,0.70631,1212.74
0.7402,1.06278,1.24184,0.70628,1212.36
0.74038,1.06316,1.24207,0.70669,1212.7
0.74073,1.06308,1.24195,0.70679,1212.42
0.74051,1.06306,1.24215,0.70702,1213.2
0.74016,1.0629,1.24186,0.70636,1212.92
0.74054,1.06259,1.2416,0.70595,1212.85
0.74136,1.06276,1.24212,0.70632,1213.8
0.74201,1.06251,1.242,0.70617,1213.37
0.74203,1.06236,1.24179,0.70644,1213.38
0.7424,1.06275,1.242,0.70652,1213.36
0.7425,1.06261,1.24208,0.70712,1213.62
0.7428,1.06281,1.24215,0.7069,1214.36
0.74254,1.06292,1.24189,0.70694,1214.5
0.74186,1.06227,1.24197,0.70636,1214.29
0.74139,1.06198,1.24137,0.70621,1212.96
0.7418,1.06252,1.24159,0.70624,1213.75
0.74179,1.06233,1.24138,0.70625,1213.08
0.74367,1.06324,1.24121,0.70666,1212.72
0.74386,1.06398,1.24097,0.70733,1213.95
0.74427,1.06393,1.24061,0.70782,1214.14
0.74412,1.06373,1.24093,0.70748,1213.76
0.74393,1.06307,1.24109,0.70641,1213.49
0.74333,1.06162,1.24033,0.70567,1212.37
0.74385,1.06237,1.2407,0.70621,1212.6
0.74346,1.06079,1.23864,0.70562,1211.19
0.74275,1.06068,1.23858,0.70552,1210.93
0.7423,1.06023,1.2377,0.7054,1210.27
0.74275,1.06051,1.23797,0.70543,1211.31
0.74278,1.0608,1.23709,0.70531,1211.71
0.74249,1.061,1.23744,0.70544,1212.33
0.74246,1.06068,1.23836,0.70541,1212.15
0.74244,1.06144,1.2373,0.70553,1213.14
0.74269,1.06233,1.2379,0.7057,1211.89
0.74294,1.0625,1.23835,0.706,1211.69
0.74138,1.06204,1.23971,0.70502,1209.93
0.74146,1.06142,1.23949,0.70502,1210.57
0.74176,1.06198,1.24101,0.70534,1210.68
0.74146,1.06055,1.24181,0.70465,1207.71
0.74038,1.05912,1.23984,0.70358,1203.56
0.7388,1.05693,1.23734,0.70223,1194.34
0.73854,1.05557,1.2387,0.70145,1195.73
0.73791,1.05453,1.23771,0.70049,1193.11
0.73796,1.05454,1.23678,0.69993,1192.65
0.73881,1.05541,1.24013,0.70094,1190.87
0.73882,1.0546,1.23801,0.70094,1187.26
0.73944,1.05438,1.2396,0.70133,1186.4
0.73928,1.05354,1.23984,0.70058,1183.1
0.73877,1.05301,1.24003,0.69992,1183.07
0.73956,1.05469,1.24341,0.70045,1187.46
0.7383,1.0547,1.24272,0.70003,1187.15
0.7385,1.05512,1.24361,0.70025,1187.29
0.73867,1.05549,1.24424,0.70042,1187
0.73853,1.05528,1.24393,0.70027,1187.6
0.73863,1.05537,1.244,0.70071,1189.14
0.73846,1.05502,1.24342,0.70042,1189.09
0.73859,1.05506,1.24396,0.70063,1189.23
0.73859,1.05506,1.24376,0.70058,1187.12
0.73809,1.05525,1.24373,0.70019,1187.93
0.7377,1.05399,1.2427,0.69942,1186.22
0.73769,1.05399,1.24285,0.69934,1186.71
0.73828,1.05446,1.24313,0.6996,1187.29
0.73644,1.05214,1.24219,0.69785,1183.52
0.73708,1.05362,1.24121,0.69801,1184.46
0.73729,1.05291,1.24192,0.69776,1182.29
0.73739,1.05374,1.24228,0.69784,1183.85
0.73762,1.05547,1.24277,0.69895,1185.59
0.73898,1.05674,1.24392,0.69976,1187.42
0.7392,1.05674,1.24366,0.69977,1187.29
0.74132,1.05731,1.24537,0.70085,1190.16
0.73995,1.05597,1.24467,0.70025,1188.25
0.73927,1.05513,1.24466,0.69955,1186.5
0.74061,1.05684,1.24762,0.70073,1186.96
0.74048,1.05705,1.24742,0.70061,1187.97
0.74016,1.05685,1.24823,0.70042,1187.43
0.74017,1.05768,1.24743,0.70057,1187.29
0.73938,1.05653,1.24619,0.69985,1186.12
0.73968,1.05681,1.24526,0.70004,1187.9
0.73925,1.05682,1.24496,0.69977,1186.63
0.73916,1.05596,1.24529,0.69946,1186.09
0.73881,1.05484,1.24418,0.69909,1184.99
0.73887,1.05463,1.2438,0.69832,1185.44
0.74044,1.05562,1.24499,0.69895,1186.5
0.74036,1.05673,1.24517,0.69909,1187.17
0.74001,1.05605,1.2459,0.69882,1186.22
0.74056,1.05656,1.24616,0.69916,1186.62
0.74059,1.05686,1.24686,0.69926,1187.09
0.74067,1.05706,1.24726,0.69921,1186.74
0.74107,1.05643,1.24745,0.69972,1186.31
0.74077,1.05693,1.24697,0.70035,1186.74
0.74088,1.05652,1.24624,0.70056,1186.51
0.74098,1.05735,1.24694,0.70043,1186.17
0.74121,1.05782,1.24608,0.70086,1186.49
0.74142,1.05686,1.24543,0.70073,1186.04
0.74125,1.05584,1.24463,0.70044,1184.86
0.74113,1.05602,1.24508,0.70047,1184.72
0.74085,1.05568,1.24554,0.70003,1184.04
0.74036,1.05579,1.24552,0.6998,1183.7
0.7402,1.05557,1.24567,0.69927,1183.7
0.74027,1.05561,1.24571,0.6995,1183.73
0.74041,1.05541,1.24568,0.69979,1183.73
0.74033,1.05538,1.24506,0.69979,1183.73
0.74066,1.05534,1.24498,0.69991,1183.73
0.7405,1.05532,1.24513,0.69992,1183.73
0.74048,1.05537,1.24518,0.69957,1183.73
0.74036,1.05513,1.24502,0.69966,1183.73
0.74036,1.05518,1.24452,0.69961,1183.73
0.74075,1.05539,1.24461,0.6998,1183.73
0.74054,1.05544,1.24475,0.69962,1183.73
0.74058,1.05519,1.24469,0.69964,1183.73
0.74044,1.05508,1.24467,0.69964,1183.73
0.74085,1.0554,1.24469,0.70019,1183.73
0.74097,1.05533,1.24463,0.70032,1183.73
0.74078,1.05546,1.24467,0.70046,1183.73
0.74079,1.05574,1.24506,0.70003,1185.29
0.74115,1.05582,1.24486,0.70036,1185.02
0.74098,1.05593,1.24505,0.70049,1185.94
0.74158,1.05582,1.24496,0.70069,1185.79
0.74071,1.0547,1.24324,0.69948,1182.48
0.74096,1.0545,1.24375,0.69942,1182.17
0.74118,1.05546,1.24465,0.70027,1182.61
0.74045,1.05421,1.24436,0.69887,1173.84
0.74065,1.05445,1.24421,0.699,1174.15
0.74155,1.05496,1.24439,0.69954,1175.85
0.74322,1.05536,1.24352,0.7004,1176.68
0.74238,1.0553,1.24335,0.70003,1175.39
0.74258,1.05511,1.24376,0.69999,1175.66
0.74286,1.05621,1.24454,0.70066,1176.39
0.74281,1.05627,1.24398,0.70071,1175.7
0.74303,1.05633,1.24479,0.70094,1175.75
0.74274,1.05653,1.24467,0.70079,1176.11
0.74264,1.057,1.24523,0.70095,1176.74
0.74318,1.05718,1.24545,0.70117,1176.85
0.74313,1.0571,1.24538,0.70136,1177.36
0.74246,1.05662,1.24475,0.70093,1176.02
0.74301,1.0569,1.24475,0.70139,1177.91
0.7435,1.05692,1.24484,0.70143,1177.96
0.74343,1.05762,1.24507,0.70213,1178.32
0.74346,1.05701,1.24465,0.70189,1178.73
0.74317,1.05719,1.24478,0.70157,1179.89
0.74419,1.05731,1.24492,0.70207,1179.5
0.74415,1.05722,1.24494,0.70219,1179.99
0.74472,1.05792,1.24547,0.7026,1181.26
0.74615,1.05925,1.24635,0.70389,1186.3
0.74515,1.05966,1.24547,0.70395,1185.97
0.74474,1.059,1.2442,0.70327,1184.12
0.74544,1.05931,1.24328,0.7036,1187.27
0.74477,1.05875,1.24202,0.70381,1188.17
0.74607,1.06133,1.24361,0.705,1193.1
0.74505,1.0599,1.2432,0.7041,1189.89
0.74455,1.06046,1.244,0.704,1188.04
0.74434,1.05953,1.24474,0.70373,1187.2
0.7439,1.05865,1.24499,0.70331,1185.9
0.74407,1.05951,1.24649,0.7036,1187.48
0.74346,1.05851,1.24577,0.70347,1187.29
0.74347,1.05878,1.2457,0.70341,1187.57
0.74335,1.05958,1.24537,0.70369,1189.09
0.74379,1.06009,1.24549,0.70409,1189.16
0.74404,1.05936,1.2453,0.70412,1189.13
0.74334,1.05886,1.24507,0.70371,1188.52
0.74332,1.05851,1.24568,0.70423,1188.17
0.74409,1.05914,1.2448,0.70463,1190.11
0.74409,1.05906,1.24359,0.70452,1189.37
0.74426,1.05923,1.24431,0.7045,1188.31
0.74414,1.05881,1.24347,0.70405,1185.72
0.74475,1.05937,1.2432,0.7045,1187.96
0.74456,1.05956,1.24287,0.70435,1186.57
0.74466,1.06027,1.24379,0.70499,1186.55
0.74526,1.06195,1.24472,0.7056,1189.01
0.74469,1.06147,1.24288,0.70537,1189.1
0.74445,1.0615,1.24318,0.70498,1188.25
0.74355,1.06067,1.24289,0.70474,1186.42
0.74264,1.06027,1.24268,0.7039,1183.9
0.74315,1.0604,1.24418,0.70478,1184.99
0.74817,1.06041,1.24094,0.70869,1192.05
0.74739,1.06005,1.241,0.70828,1191.65
0.74712,1.05968,1.24002,0.70826,1190.29
0.74664,1.05925,1.24043,0.70826,1189.92
0.74746,1.06,1.24013,0.70848,1191.12
0.74811,1.06083,1.24146,0.70935,1191.93
0.74845,1.06103,1.24134,0.70951,1190.71
0.74839,1.06056,1.24133,0.70927,1190.31
0.74782,1.05911,1.24248,0.70855,1188.29
0.7464,1.0587,1.24178,0.70786,1187.31
0.7466,1.05921,1.24431,0.70846,1187.3
0.74629,1.06001,1.24559,0.70906,1187.46
0.7468,1.06025,1.24674,0.70949,1188.07
0.7469,1.06039,1.24801,0.70983,1188.46
0.74644,1.06022,1.24703,0.70977,1187.91
0.74562,1.05991,1.24681,0.70953,1187.35
0.74565,1.05923,1.24691,0.70916,1186.13
0.74547,1.05899,1.24749,0.70932,1185.19
0.74498,1.05873,1.24716,0.70991,1185.43
0.74435,1.0583,1.24666,0.70906,1183.34
0.74418,1.05726,1.24657,0.7092,1183.52
0.74458,1.05804,1.24824,0.70897,1183.27
0.74421,1.05825,1.2473,0.70806,1182.91
0.74407,1.05753,1.24564,0.70778,1181.95
0.74553,1.05899,1.2499,0.7097,1183.35
0.7452,1.05896,1.24979,0.7095,1185.2
0.74486,1.05963,1.24956,0.70995,1187.27
0.74468,1.05947,1.2497,0.70968,1185.85
0.74641,1.06175,1.25028,0.71193,1188.54
0.74705,1.06184,1.2503,0.71222,1187.3
0.74704,1.06262,1.25223,0.71236,1189.06
0.74616,1.0617,1.25041,0.71104,1186.07
0.74587,1.06099,1.24909,0.71061,1185.27
0.74607,1.06116,1.24889,0.71095,1186.47
0.74727,1.06289,1.25038,0.71203,1188.44
0.74728,1.0627,1.2504,0.71202,1188.43
0.74719,1.06284,1.2496,0.71215,1187.56
0.74758,1.06321,1.24958,0.71261,1188.3
0.74798,1.06422,1.24951,0.71271,1189
0.74781,1.0642,1.24984,0.71254,1188.72
0.74768,1.06405,1.24963,0.7123,1188.41
0.74825,1.0646,1.25018,0.71262,1188.89
0.74803,1.06404,1.2499,0.71221,1188.36
0.7484,1.06429,1.25018,0.71275,1188.18
0.74888,1.06447,1.25051,0.71302,1188.98
0.74858,1.06415,1.24968,0.7125,1188.61
0.74837,1.06414,1.24922,0.71251,1189.11
0.74818,1.06439,1.24928,0.71241,1189.17
0.74825,1.06446,1.24917,0.71241,1188.33
0.7486,1.06518,1.2494,0.71274,1188.62
0.74854,1.06524,1.24914,0.71291,1188.48
0.74836,1.06489,1.24882,0.71257,1188.13
0.74796,1.06481,1.249,0.71239,1188.26
0.7482,1.06481,1.24868,0.71295,1188.26
0.74791,1.06473,1.249,0.71292,1188.26
0.74837,1.06472,1.24881,0.71285,1188.26
0.74862,1.06477,1.2489,0.71315,1188.34
0.74864,1.06486,1.2491,0.71348,1190.25
0.74861,1.06465,1.24909,0.71338,1189.17
0.74883,1.06493,1.249,0.71374,1188.91
0.74925,1.0658,1.24902,0.71442,1190.84
0.74835,1.06491,1.24865,0.71361,1190.32
0.74837,1.06475,1.2487,0.71375,1189.8
0.74839,1.06458,1.2484,0.71406,1190.71
0.74779,1.06413,1.24839,0.71402,1190.29
0.74825,1.06438,1.24828,0.71462,1191.37
0.74859,1.06492,1.24826,0.71533,1193.79
0.74834,1.06496,1.24832,0.71561,1193.27
0.74803,1.06409,1.24768,0.71519,1192.35
0.74797,1.06376,1.24739,0.71502,1191.94
0.74734,1.06356,1.24722,0.71474,1191.36
0.74628,1.06305,1.24703,0.71406,1189.53
0.7469,1.06335,1.24773,0.71449,1189.93
0.74717,1.06311,1.24782,0.71468,1189.88
0.74689,1.06323,1.2481,0.71441,1189.48
0.74678,1.06277,1.24806,0.71357,1187.81
0.74714,1.0632,1.24812,0.71377,1188.57
0.74716,1.06316,1.24826,0.71388,1189.41
0.74749,1.06322,1.24814,0.7142,1190.04
0.74734,1.06311,1.24758,0.714,1190.39
0.74759,1.0632,1.24751,0.71403,1190.01
0.74755,1.06294,1.24776,0.71374,1188.69
0.74755,1.06312,1.24803,0.71395,1188.14
0.74778,1.06397,1.24791,0.71442,1189.81
